sensor_id,room_type,baseline_ppm,phi_hat,phi_se,generation_hat,generation_se,innovation_sigma,n_decay_points,n_occ_points,fallback_params
20233647,single,443.7,0.9919,0.005,18.91,0.5,17.1,693,7182,none
20233665,single,481.4,0.995,0.005,30.52,0.5,31.6,1658,5033,none
20233681,single,409.0,0.97,0.03,60.0,0.5,35.0,0,10079,phi
20233685,single,457.1,0.9914,0.005,14.53,0.5,7.3,2081,5759,none
20251591,single,405.9,0.9873,0.005,11.86,0.5,21.0,1897,3152,none
22165976,shared,405.8,0.995,0.005,16.3,0.5,9.0,2880,4559,none
22165978,single,477.3,0.9942,0.005,5.36,0.5,9.7,2974,960,none
22165989,single,419.3,0.995,0.005,22.75,0.5,15.1,1200,2639,none
22165990,single,412.6,0.9697,0.009,26.15,0.5,5.7,50,5946,none
22165993,single,475.6,0.9865,0.005,30.21,0.5,11.9,240,7888,none
22165994,shared,407.4,0.987,0.005,7.68,0.5,10.1,353,3022,none
22168412,shared,542.0,0.9843,0.005,19.17,0.5,22.4,240,4799,none
