sensor_id,n_label1_blocks,mean_m_min,median_m_min,p90_m_min,pct_blocks_detectable_30min,pct_blocks_detectable_60min,pct_nonzero_estimate
20233647,38,17.867205657751093,17.90325371685773,17.90325371685773,100.0,100.0,21.052631578947366
20233665,29,20.510601909407168,20.519539998892,20.519539998892,100.0,100.0,24.137931034482758
20233681,42,11.543186542526096,11.543186542526096,11.543186542526096,100.0,100.0,100.0
20233685,25,9.9559212589888,9.9559212589888,9.9559212589888,100.0,100.0,92.0
20251591,14,33.85565421627967,35.09550390997555,35.09550390997555,7.142857142857142,100.0,57.14285714285714
22165976,24,10.918723667334014,10.918723667334014,10.918723667334014,100.0,100.0,79.16666666666666
22165978,23,35.78934305641522,35.78934305641522,35.78934305641522,0.0,100.0,4.3478260869565215
22165989,31,13.115128154823402,13.115128154823402,13.115128154823402,100.0,100.0,12.903225806451612
22165990,33,4.118156328537126,4.306173304437636,4.306173304437636,100.0,100.0,60.60606060606061
22165993,35,7.80423860038637,7.819113052626692,7.819113052626692,100.0,100.0,34.285714285714285
22165994,30,19.43013913776123,22.939910606740668,26.01126140364219,100.0,100.0,13.333333333333334
22168412,35,23.161469415824,23.161469415824,23.161469415824,100.0,100.0,17.142857142857142
-1,359,16.088659165211975,13.115128154823402,26.01126140364219,89.97214484679665,100.0,42.89693593314763
