sensor_id,room_type,noise_scale,lambda1,lambda2,admm_rho,admm_max_iter,admm_tol
20233647,single,6.5725395262979065,3.2862697631489532,6.5725395262979065,1.0,100,0.0001
20233665,single,10.261101145835749,5.130550572917874,10.261101145835749,1.0,100,0.0001
20233681,single,22.952167789560576,11.476083894780288,22.952167789560576,1.0,100,0.0001
20233685,single,3.5813050737693155,1.7906525368846578,3.5813050737693155,1.0,100,0.0001
20251591,single,4.58874867297743,2.294374336488715,4.58874867297743,1.0,100,0.0001
22165976,shared,4.359101937384415,2.1795509686922077,4.359101937384415,1.0,100,0.0001
22165978,single,2.106515250171553,1.0532576250857766,2.106515250171553,1.0,100,0.0001
22165989,single,9.816139481983287,4.908069740991643,9.816139481983287,1.0,100,0.0001
22165990,single,7.585206183757659,3.7926030918788296,7.585206183757659,1.0,100,0.0001
22165993,single,6.922622783089993,3.4613113915449967,6.922622783089993,1.0,100,0.0001
22165994,shared,3.5337001595893645,1.7668500797946822,3.5337001595893645,1.0,100,0.0001
22168412,shared,6.310407485527181,3.1552037427635904,6.310407485527181,1.0,100,0.0001
